,persona,aspect,reverse,item,options,answers,reverse_answers,reverse_options,instruction,meta,coagulator,test_name,p1,p2,p3,p4,p5,prompt,log
0,,O,0,Is curious about many different things,ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,0.0,0.0,1.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Is curious about many different things""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",E
1,,O,0,"Is inventive, finds clever ways to do things",ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,0.0,0.0,1.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Is inventive, finds clever ways to do things""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",E
2,,O,0,"Is fascinated by art, music, or literature",ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,0.0,0.0,1.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Is fascinated by art, music, or literature""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",E
3,,O,0,Values art and beauty,ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,0.0,0.0,1.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Values art and beauty""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",E
4,,O,0,"Is complex, a deep thinker",ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,0.0,1.0,0.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Is complex, a deep thinker""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",D
5,,O,0,"Is original, comes up with new Ideas",ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,0.0,0.0,1.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Is original, comes up with new Ideas""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",E
6,,O,1,Has few artistic interests,ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,1.0,0.0,0.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Has few artistic interests""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",C
7,,O,1,"Avoids intellectual, philosophical discussions",ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,0.0,1.0,0.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Avoids intellectual, philosophical discussions""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",B
8,,O,1,Has little creativity,ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,1.0,0.0,0.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Has little creativity""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",C
9,,O,1,Has difficulty imagining things,ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,0.0,0.0,1.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Has difficulty imagining things""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",A
10,,O,1,Thinks poetry and plays are boring,ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,1.0,0.0,0.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Thinks poetry and plays are boring""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",C
11,,O,1,Has little interest in abstract Ideas,ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,1.0,0.0,0.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Has little interest in abstract Ideas""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",C
12,,E,0,"Is outgoing, sociable",ABC,Disagree Strongly to Agree Strongly,Default,Default,BFI base,Letter only,Chat,bfi,0.0,0.0,0.0,0.0,1.0,"[{'role': 'system', 'content': '\n Please respond with the single letter or number that represents your answer.'}, {'role': 'user', 'content': 'Please indicate the extent to which you agree or disagree with the following statement: ""I am someone who Is outgoing, sociable""\nA: Disagree strongly\nB: Disagree a little\nC: Neutral; no opinion\nD: Agree a little\nE: Agree strongly\nAnswer:'}]",E
